A.I.                                      	A.I.
A2A integration                           	A2A集成
ADL                                       	ADL
ADO                                       	ADO
API                                       	API
ASP                                       	ASP
ASP.NET worker process                    	ASP.NET工作进程
AST                                       	AST
B2B integration                           	B2B集成
BCL                                       	BCL
CIL                                       	CIR
CLI                                       	CLI
CLS                                       	CLS
COFF                                      	COFF
COM                                       	COM
CORBA                                     	CORBA
CRTP                                      	CRTP
CTS                                       	CTS
DBMS                                      	DBMS
DCOM                                      	DCOM
DHTML                                     	DHTML
DI                                        	DI
DIME                                      	DIME
DISCO                                     	DISCO
DISPID                                    	DISPID
DNA                                       	DNA
DOM                                       	DOM
DSL                                       	DSL
DTD                                       	DTD
EAI                                       	EAI
EBCO                                      	EBCO
ECMAScript                                	ECMAScript
EDI                                       	EDI
GAC                                       	GAC
GC                                        	GC
GUI                                       	GUI
GUID                                      	GUID
HTML                                      	HTML
HTTP                                      	HTTP
HTTP pipeline                             	HTTP管道
IDE                                       	IDE
IDL                                       	IDL
IL                                        	IL
IME                                       	IME
JIT                                       	即时
JIT compilation                           	JIT编译
ODBC data source                          	ODBC数据源
ODBC driver                               	ODBC驱动程序
ODR                                       	ODR
OLE DB consumer                           	OLE DB使用者
OLE DB for OLAP                           	用于OLAP 的OLE DB
OLE DB provider                           	OLE DB提供者
OLE automation object                     	OLE自动化对象
OLE automation server                     	OLE自动化服务器
P invoke                                  	平台调用
PDA                                       	PDA
PE file                                   	PE文件
POD                                       	POD
POI                                       	POI
RPC                                       	RPC
SAX                                       	SAX
SDK                                       	SDK
SMTP                                      	SMTP
SOAP                                      	SOAP
SQL                                       	SQL
STL                                       	STL
TCP                                       	TCP
UDDI                                      	UDDI
UML                                       	UML
UNIQUE constraint                         	唯一性约束
URI                                       	URI
URL                                       	URL
UUID                                      	UUID
VEE                                       	VEE
WHERE clause                              	WHERE子句
WSDL                                      	WSDL
XML                                       	XML
XML message interface                     	XML 消息接口
XSD                                       	XSD
XSL                                       	XSL
XSLT                                      	XSLT
abstract                                  	抽象的
abstract baseclass                        	抽象基类
abstract class                            	抽象类
abstract syntax tree                      	抽象语法树
abstraction                               	抽象
access                                    	访问
access function                           	访问函数
access level                              	访问级别
accessibility                             	无障碍性
account                                   	账户
action                                    	动作
activate                                  	激活
active                                    	活动的
actual parameter                          	实参
adapter                                   	适配器
add-in                                    	插件
address                                   	地址
address space                             	地址空间
address-of operator                       	取地址操作符
advanced                                  	高级的
aggregation                               	聚合
ahead-of-time                             	预先
algorithm                                 	算法
alias                                     	别名
align                                     	对齐
alignment                                 	对齐
allocate                                  	分配
allocator                                 	分配器
angle bracket                             	尖括号
annotation                                	注解
app domain                                	应用域
appearance                                	外观
append                                    	附加
application                               	应用程序
application framework                     	应用程序框架
approximate string matching               	模糊匹配
arbitrary precision arithmetic            	高精度计算
arbitrary-precision arithmetic            	高精度计算
architecture                              	架构
archive file                              	归档文件
argument                                  	参数
array                                     	数组
arrow operator                            	箭头操作符
assembly language                         	汇编语言
assembly manifest                         	装配清单
assert                                    	断言
assertion                                 	断言
assign                                    	赋值
assignment                                	赋值
assignment operator                       	赋值操作符
associated                                	关联的
associative container                     	关联式容器
asynchronous                              	异步的
atomic                                    	原子的
atomic operation                          	原子操作
attribute                                 	属性
audio                                     	音频
authentication service                    	验证服务
authorization                             	授权
autocomplete                              	自动完成
background                                	后台
background color                          	背景色
background image                          	背景图
backup                                    	备份
backup device                             	备份设备
backup file                               	备份文件
backward compatible                       	向下兼容
badge                                     	徽章
bandwidth                                 	带宽
bandwidth reduction                       	带宽压缩
base class                                	基类
base type                                 	基础类型
batch                                     	批处理
benefit                                   	收益
best viable function                      	最佳可行函数
bin packing                               	集装优化
binary                                    	二进制
binary function                           	双参函数
binary large object                       	二进制大对象
binary operator                           	二元操作符
binary search                             	二分查找
binary tree                               	二叉树
binding                                   	绑定
bit                                       	位
bit field                                 	位域
bitmap                                    	位图
bitwise                                   	按位
bitwise copy                              	按位复制
bitwise operation                         	按位运算
block                                     	块
bookkeeping                               	簿记
boolean                                   	布尔
bootstrap                                 	引导
border                                    	边框
bounds checking                           	边界检查
boxing                                    	装箱
brace                                     	花括号
bracket                                   	方括号
breakpoint                                	断点
browser application                       	浏览器应用
browser-accessible application            	可浏览应用
bug                                       	BUG
build                                     	构建
build-in                                  	内置
builder                                   	构建器
built-in                                  	内置
bus                                       	总线
business                                  	业务
business logic                            	业务逻辑
business rule                             	业务规则
button                                    	按钮
by through                                	通过
byte                                      	字节
cache                                     	高速缓存
calendar                                  	日历
calendrical calculation                   	日历计算
call                                      	调用
call operator                             	调用操作符
call-level interface                      	调用级接口
callback                                  	回调
candidate function                        	候选函数
candidate key                             	候选键
cascading delete                          	级联删除
cascading update                          	级联更新
case type                                 	大小写类型
casting                                   	类型转换
catalog                                   	目录
chain                                     	链
character                                 	字符
character format                          	字符格式
character set                             	字符集
check box                                 	复选框
check button                              	复选按钮
check constraint                          	检查约束
checked exception                         	检查异常
checkpoint                                	检查点
child class                               	子类
class                                     	类
class body                                	类体
class declaration                         	类声明
class definition                          	类定义
class derivation list                     	类继承列表
class factory                             	类厂
class head                                	类头
class hierarchy                           	类层次体系
class library                             	类库
class loader                              	类加载器
class template                            	类模板
class template partial specialization     	类模板部分特化
class template specialization             	类模板特化
classification                            	分类
clause                                    	子句
cleanup                                   	清理
client                                    	客户
client area                               	客户区
client cursor                             	客户端游标
client-server                             	客户/服务器
clipboard                                 	剪贴板
clique                                    	最大团
clone                                     	克隆
code access security                      	代码访问安全
code page                                 	代码页
collection                                	集合
combinatorial problem                     	组合问题
combo box                                 	组合框
command line                              	命令行
comment                                   	注释
commit                                    	提交
common language runtime                   	通用语言执行层
communication                             	通讯
compatible                                	兼容
compile time                              	编译期
compiler                                  	编译器
component                                 	组件
composite index                           	复合索引
composite key                             	复合键
composition                               	组合
computational geometry                    	计算几何
computer                                  	电脑
concept                                   	概念
concrete                                  	具体的
concrete class                            	具体类
concurrency                               	并发
concurrent                                	并发
configuration                             	配置
connected component                       	连通分支
connection                                	连接
connection pooling                        	连接池
console                                   	控制台
const                                     	常数
constant                                  	常数
constrained and unconstrained optimization	最值问题
constraint                                	约束
construct                                 	构造
constructor                               	构造函数
container                                 	容器
containment                               	包容
context                                   	上下文
control                                   	控件
convex hull                               	凸包
cookie                                    	cookie
copy                                      	复制
cover                                     	覆盖
create                                    	创建
creation                                  	创建
cross tab query                           	交叉表查询
cryptography                              	密码学
ctor                                      	构造函数
cube                                      	多维数据集
curly brace                               	花括号
cursor                                    	光标
custom                                    	定制
data                                      	数据
data binding                              	数据绑定
data connection                           	数据连接
data dictionary                           	数据字典
data dictionary view                      	数据字典视图
data file                                 	数据文件
data flow                                 	数据流
data integrity                            	数据完整性
data manipulation language                	数据操作语言
data mart                                 	数据集市
data member                               	数据成员
data pump                                 	数据抽取
data scrubbing                            	数据清理
data source                               	数据源
data structure                            	数据结构
data table                                	数据表
data warehouse                            	数据仓库
data-aware control                        	数据敏感控件
data-bound                                	数据绑定
database                                  	数据库
database catalog                          	数据库目录
database diagram                          	数据关系图
database file                             	数据库文件
database object                           	数据库对象
database owner                            	数据库所有者
database project                          	数据库工程
database role                             	数据库角色
database schema                           	数据库模式
database script                           	数据库脚本
datagram                                  	数据报文
dataset                                   	数据集
dead lock                                 	死锁
deallocate                                	归还
debug                                     	调试
debugger                                  	调试器
decay                                     	退化
decision support                          	决策支持
declaration                               	声明
declarative referential integrity         	声明引用完整性
decoration                                	装饰
decorator                                 	装饰器
deduction                                 	推导
default                                   	默认
default constraint                        	默认约束
default database                          	默认数据库
default instance                          	默认实例
default result set                        	默认结果集
defer                                     	推迟
define                                    	定义
definition                                	定义
definition language                       	数据定义语言
delegate                                  	委托
delegation                                	委托
demarshal                                 	反编列
dependency injection                      	依赖注入
dependent name                            	依赖名字
deploy                                    	部署
dereference                               	解引用
dereference operator                      	解引用运算符
derived class                             	派生类
design by contract                        	契约式设计
design pattern                            	设计模式
destroy                                   	销毁
destructor                                	析构函数
determinants and permanents               	行列式
device                                    	设备
dialog                                    	对话框
dictionary                                	字典
digest                                    	摘要
digital                                   	数字的
directive                                 	指令
directory                                 	目录
dirty page                                	脏页
dirty read                                	脏读
disassembler                              	反汇编器
discrete fourier transform                	离散 fourier 变换
disk                                      	磁盘
dispatch                                  	派发
distributed computing                     	分布式计算
distributed query                         	分布式查询
document                                  	文档
domain-specific language                  	领域特定语言
dot operator                              	点操作符
double-byte character set                 	双字节字符集
drag and drop                             	拖放
drawing graph                             	图的描绘
drawing tree                              	树的描绘
driver                                    	驱动
dtor                                      	析构函数
dump                                      	转储
dump file                                 	转储文件
dynamic SQL statement                     	动态SQL语句
dynamic assembly                          	动态装配
dynamic binding                           	动态绑定
dynamic cursor                            	动态游标
dynamic filter                            	动态筛选
dynamic locking                           	动态锁定
dynamic programming                       	动态规划
dynamic recovery                          	动态恢复
dynamic snapshot                          	动态快照
e-business                                	电子商务
eager loading                             	急性加载
edge and vertex                           	割边与割点
edge coloring                             	边染色
efficiency                                	效率
efficient                                 	高效
element                                   	元素
encapsulation                             	封装
enclosing class                           	外围类
end user                                  	最终用户
end-to-end authentication                 	端到端身份验证
engine                                    	引擎
entity                                    	实体
entry point                               	入口点
enum                                      	枚举
enumerator                                	枚举器
equal                                     	相等
equality                                  	相等性
equality operator                         	等号运算符
equivalence                               	等价性
equivalent                                	等价
error log                                 	错误日志
escape character                          	转义字符
escape code                               	转义码
eulerian cycle                            	中国邮路
evaluate                                  	求值
event                                     	事件
event driven                              	事件驱动的
event handler                             	事件处理器
evidence                                  	证据
exception                                 	异常
exception declaration                     	异常声明
exception handling                        	异常处理
exception specification                   	异常规范
exception-safe                            	异常安全
exclusive lock                            	排它锁
exit                                      	退出
explicit                                  	显式
explicit specialization                   	显式特化
explicit transaction                      	显式事务
export                                    	导出
expression                                	表达式
facility                                  	设施
factor                                    	算子
factoring and primality testing           	因子分解与质数判定
fat client                                	胖客户端
feature                                   	特性
feedback edge/vertex set                  	最大无环子图
fetch                                     	获取
field                                     	字段
field length                              	字段长度
file                                      	文件
filter                                    	筛选
finalization                              	终结
finalizer                                 	终结器
finite state machine minimization         	有穷自动机简化
firewall                                  	防火墙
firmware                                  	固件
flag                                      	标志
flash memory                              	闪存
flexibility                               	灵活性
flush                                     	刷新
font                                      	字体
foreign key                               	外键
form                                      	表单
formal parameter                          	形式参数
forward declaration                       	前置声明
forward-only                              	只向前的
forward-only cursor                       	只向前游标
forwarding                                	转发
forwarding function                       	转发函数
fractal                                   	分形
fragmentation                             	碎片
framework                                 	框架
full specialization                       	完全特化
function                                  	函数
function call operator                    	函数调用操作符
function object                           	函数对象
function overloaded resolution            	函数重载解决
function template                         	函数模板
functionality                             	功能
functor                                   	仿函数
game                                      	游戏
generate                                  	生成
generating graph                          	图的生成
generating partition                      	划分生成
generating permutation                    	排列生成
generating subset                         	子集生成
generic                                   	泛型
generic algorithm                         	通用算法
genericity                                	泛型
getter                                    	getter
global                                    	全局的
global object                             	全局对象
global scope resolution operator          	全局范围解析操作符
grant                                     	授权
granularity                               	粒度
graph data structure                      	图数据结构
graph isomorphism                         	图的同构
graph partition                           	图的划分
group                                     	组
group box                                 	分组框
guard clause                              	卫语句
hamiltonian cycle                         	hamilton回路
hand shaking                              	握手
handle                                    	识别号
handler                                   	处理函数
hard disk                                 	硬盘
hard-coded                                	硬编码的
hard-copy                                 	硬拷贝
hardware                                  	硬件
hash table                                	散列表
header file                               	头文件
heap                                      	堆
help file                                 	帮助文件
hierarchical                              	层次式
hierarchical data                         	层次式数据
hierarchy                                 	层次结构
high level                                	高层
home                                      	home
hook                                      	挂钩            	verb
hook                                      	钩子            	noun
host                                      	宿主
hot key                                   	热键
hyperlink                                 	超链接
icon                                      	图标
identifier                                	标识符
idle time                                 	空闲时间
if and only if                            	当且仅当
illinois                                  	伊利诺斯
image                                     	图象
immediate base                            	直接基类
immediate derived                         	直接派生类
immediate updating                        	即时更新
immutability                              	不可变性
immutable                                 	不可变
implement                                 	实现
implementation                            	实现
implicit                                  	隐式
implicit transaction                      	隐式事务
import                                    	导入
in-place active                           	现场激活
increment operator                        	递增操作符
incremental update                        	增量更新
independent set                           	独立集
index                                     	索引
infinite loop                             	无限循环
infinite recursive                        	无限递归
information                               	信息
infrastructure                            	基础设施
inheritance                               	继承
initialization                            	初始化
initialization list                       	初始值列表
initialize                                	初始化
initialized                               	已初始化的
inject                                    	注入
injectable                                	可注入对象
injector                                  	注入器
inline                                    	内联
inline expansion                          	内联展开
inner class                               	内嵌类
inner join                                	内联接
instance                                  	实例
instantiated                              	实例化
instantiation                             	实例
integer                                   	整型
integrate                                 	集成
integrity                                 	完整性
integrity constraint                      	完整性约束
interact                                  	交互
interface                                 	接口
interoperability                          	互操作性
interpolation                             	插值
interpreter                               	解释器
interprocess communication                	进程间通讯
intersection detection                    	碰撞测试
introspection                             	自省
invariant                                 	不变式
invoke                                    	调用
isolation level                           	隔离级别
item                                      	条目
iterate                                   	迭代
iteration                                 	迭代
iterative                                 	迭代式
iterator                                  	迭代器
job scheduling                            	工程安排
kd-tree                                   	k-d树
key                                       	键
key column                                	键列
knapsack problem                          	背包问题
laser                                     	激光
late binding                              	延迟绑定
layout                                    	布局
lazy loading                              	惰性加载
left outer join                           	左外联接
level                                     	层
library                                   	库
license                                   	license
lifetime                                  	生命周期
linear programming                        	线性规划
link                                      	链接
linkage                                   	链接
linker                                    	连接器
list                                      	列表
list box                                  	列表框
literal constant                          	字面常数
live lock                                 	活锁
load                                      	加载
load balancing                            	负载平衡
loader                                    	加载器
local                                     	局部
local object                              	局部对象
lock                                      	锁
log                                       	日志
login                                     	登录
login security mode                       	登录安全模式
longest common substring                  	最长公共子串
lookup table                              	查阅表
loop                                      	循环
loose coupling                            	松耦合
lvalue                                    	左值
machine code                              	机器码
macro                                     	宏
magic number                              	魔数
maintain                                  	维护
maintaining line arrangement              	平面分割
managed code                              	托管代码
managed extension                         	托管扩展
managed object                            	托管对象
mangled name                              	托管名
manifest                                  	清单
manipulator                               	操纵器
many-to-many relationship                 	多对多关系
many-to-one relationship                  	多对一关系
marshal                                   	编列
match                                     	匹配
matrix multiplication                     	矩阵乘法
mechanism                                 	机制
medial-axis transformation                	中轴变换
median and selection                      	中位数
member                                    	成员
member access operator                    	成员存取操作符
member function                           	成员函数
member initialization list                	成员初始值列表
memberwise                                	成员级
memberwise copy                           	成员级复制
memory                                    	内存
memory leak                               	内存泄漏
menu                                      	菜单
message                                   	消息
message based                             	基于消息的
message loop                              	消息循环
message queuing                           	消息队列
meta                                      	元
metadata                                  	元数据
metaprogramming                           	元编程
method                                    	方法
micro                                     	微
middle tier                               	中间层
middleware                                	中间件
minimum spanning tree                     	最小生成树
minkowski sum                             	minkowski和
modeling                                  	建模
modeling language                         	建模语言
modem                                     	调制解调器
modifier                                  	修饰符
module                                    	模块
most derived class                        	最底层的派生类
motion planning                           	运动规划
mouse                                     	鼠标
multi threaded server application         	多线程服务端应用
multi-tasking                             	多任务
multi-thread                              	多线程
multicast delegate                        	组播委托
multidimensional OLAP                     	多维OLAP
multiuser                                 	多用户
mutable                                   	可变的
mutex                                     	互斥体
named parameter                           	命名参数
named pipe                                	命名管道
namespace                                 	命名空间
native                                    	原生的
native code                               	原生代码
native image generator                    	本地映像生成器
nearest neighbor search                   	最近点对查询
nested class                              	嵌套类
nested query                              	嵌套查询
nested table                              	嵌套表
network                                   	网络
network card                              	网卡
network flow                              	网络流
nominal type                              	名义类型
non dependent name                        	非依赖名字
numerical problem                         	数值问题
object                                    	对象
object based                              	基于对象的
object file                               	目标文件
object model                              	对象模型
object oriented                           	面向对象的
object pooling                            	对象池化
one-to-many relationship                  	一对多关系
one-to-one relationship                   	一对一关系
online                                    	在线
online analytical processing              	在线分析处理
online redo log                           	在线回放日志
online transaction processing             	在线事务处理
opaque                                    	不透明的
open data service                         	开放式数据服务
open database connectivity                	开放式数据库连接
operand                                   	操作数
operating system                          	操作系统
operation                                 	操作
operator                                  	运算符
optimizer                                 	优化器
option                                    	选项
ordinary                                  	常规的
outer join                                	外联接
overflow                                  	溢出
overhead                                  	额外开销
overlay                                   	浮层
overload                                  	重载
overload resolution                       	重载解析
overloaded function                       	重载的函数
overloaded operator                       	重载的操作符
overloaded set                            	重载集
override                                  	改写
package                                   	包
packaging                                 	打包
paginator                                 	分页器
pair                                      	对
palette                                   	调色版
pane                                      	窗格
parallel                                  	并行
parameter                                 	参数
parameter list                            	参数列表
parameterize                              	参数化
parent class                              	父类
parentheses                               	圆括号
parse                                     	解析
parser                                    	解析器
part                                      	部件
partial specialization                    	局部特化
pass by address                           	按址传递
pass by reference                         	引用传递
pass by value                             	值传递
pattern                                   	模式
performance                               	性能
persistence                               	持久性
pipe                                      	管道
pixel                                     	像素
placeholder                               	占位符
placement delete                          	占位符删除
placement new                             	占位符新增
planarity detection and embedding         	平面性检测和嵌入
platform                                  	平台
point location                            	位置查询
pointer                                   	指针
poll                                      	轮询
polyfill                                  	腻子脚本
polygon partitioning                      	多边形分割
polymorphism                              	多态
pooling                                   	池化
pop up                                    	弹出式
port                                      	端口
postfix                                   	后缀
precedence                                	优先次序
prefix                                    	前缀
preprocessor                              	预处理器
primary key                               	主键
primary table                             	主表
primary template                          	原始模板
prime                                     	素数
primitive type                            	原始类型
print                                     	打印
printer                                   	打印机
priority                                  	优先级
priority queue                            	优先队列
procedural                                	过程式的
procedure                                 	过程
process                                   	进程
profile                                   	评测
profiler                                  	效能评测器
program                                   	程序
programmer                                	程序员
programming                               	编程
progress bar                              	进度条
progress spinner                          	进度圈
project                                   	项目
property                                  	属性
protocol                                  	协议
pseudo code                               	伪码
qualified                                 	限定
qualified name                            	限定名
qualifier                                 	限定符
quality                                   	质量
queue                                     	队列
race condition                            	竞态条件
radian                                    	弧度
radio button                              	单选按钮
raise                                     	引发
random number                             	随机数
random number generation                  	随机数生成
range                                     	区间
range search                              	范围查询
rank                                      	等级
raw                                       	原始的
re-direction                              	重定向
reactive                                  	响应式
read only                                 	只读
read-only                                 	只读
readonly                                  	只读
record                                    	记录
recordset                                 	记录集
recursion                                 	递归
recursive                                 	递归
refactoring                               	重构
refer                                     	参考            	noun
refer                                     	指向            	verb
refer to                                  	指向
reference                                 	参考            	noun
reference                                 	引用            	verb
reference counting                        	引用计数
referential integrity                     	引用完整性
reflection                                	反射
refresh data                              	刷新数据
regex                                     	正则表达式
regexp                                    	正则表达式
register                                  	寄存器           	noun
register                                  	注册            	verb
regular expression                        	正则表达式
relational database                       	关系数据库
remote                                    	远程
remote request                            	远程请求
represent                                 	表现
resolution                                	分辨率
resolve                                   	解析
restriction                               	局限
result set                                	结果集
retrieve data                             	检索数据
return                                    	返回
return type                               	返回类型
return value                              	返回值
revoke                                    	撤销
right outer join                          	右外联接
ripple                                    	涟漪
robust                                    	健壮
robustness                                	健壮性
roll back                                 	回滚
roll forward                              	前滚
router                                    	路由器
routine                                   	例程
row                                       	行
row lock                                  	行锁
row set                                   	行集
rowset                                    	行集
rule                                      	规则
runtime                                   	运行时
rvalue                                    	右值
satisfiability                            	可满足性
save                                      	保存
savepoint                                 	保存点
scalable                                  	可伸缩的
schedule                                  	调度
scheduler                                 	调度程序
schema                                    	模式
scheme                                    	模式
scope                                     	作用域
scope operator                            	作用域操作符
scope resolution operator                 	作用域解析操作符
screen                                    	屏幕
scroll bar                                	滚动条
sealed class                              	密封类
search                                    	查找
semantic                                  	语义
semaphore                                 	信号量
sequential container                      	序列式容器
serial                                    	串行
serialization                             	序列化
serialize                                 	序列化
server                                    	服务端
server cursor                             	服务端游标
server-side rendering                     	服务端渲染
service                                   	服务
session                                   	会话
set and string problem                    	集合与串的问题
set cover                                 	集合覆盖
set data structure                        	集合数据结构
set packing                               	集合配置
setter                                    	setter
shape similarity                          	相似多边形
shared lock                               	共享锁
shortest common super string              	最短公共父串
shortest path                             	最短路径
sibling                                   	同级
side effect                               	副作用
signal                                    	信号
signature                                 	签名
simplifying polygon                       	多边形化简
single-threaded                           	单线程
size                                      	大小
slice                                     	切片
slider                                    	滑块
slot                                      	槽
smart pointer                             	智能指针
snapshot                                  	快照
software                                  	软件
solution                                  	解决方案
solving linear equations                  	线性方程组
sort                                      	排序
sorting                                   	排序
source                                    	源
source code                               	源码
specialization                            	特化
specification                             	规范
splitter                                  	切分器
square bracket                            	方括号
stack                                     	栈
stack unwinding                           	栈展开
standard library                          	标准库
standard template library                 	标准模板库
stateless                                 	无状态的
statement                                 	语句
static SQL statement                      	静态SQL语句
static cursor                             	静态游标
status bar                                	状态栏
steiner tree                              	steiner 树
stored procedure                          	存储过程
stream                                    	流
string                                    	字符串
string literal                            	字符串字面量
string matching                           	字符串匹配
structural type                           	结构类型
stub                                      	桩
sub object                                	子对象
sub query                                 	子查询
sub routine                               	子例程
subobject                                 	子对象
subquery                                  	子查询
subroutine                                	子例程
subscript operator                        	下标操作符
subset                                    	子集
subtype                                   	子类型
support                                   	支持
suspend                                   	挂起
symbol                                    	记号
syntax                                    	语法
system database                           	系统数据库
system table                              	系统表
tab                                       	选项卡
table                                     	表格
table lock                                	表锁
table-level constraint                    	表级约束
tag                                       	标记
tape backup                               	磁带备份
target                                    	目标
task switch                               	任务切换
template                                  	模板
template argument deduction               	模板参数推导
template explicit specialization          	模板显式特化
template parameter                        	模板参数
template-id                               	模板ID
temporary object                          	临时对象
temporary table                           	临时表
text                                      	文本
text compression                          	文本压缩
text field                                	文本字段
text file                                 	文本文件
thin client                               	瘦客户端
third-party                               	第三方
thread                                    	线程
thread-safe                               	线程安全的
throw                                     	抛出
token                                     	令牌
toolbar                                   	工具栏
tooltip                                   	工具提示
topological sorting                       	拓扑排序
trace                                     	跟踪
trait                                     	trait
transaction                               	事务
transaction log                           	事务日志
transaction rollback                      	事务回滚
transactional replication                 	事务复制
transitive closure and reduction          	传递闭包
translation unit                          	翻译单元
transpile                                 	转译
traveling salesman problem                	旅行商问题
traverse                                  	遍历
tree                                      	树
triangulation                             	三角剖分
trigger                                   	触发器
tuple                                     	元组
two-phase commit                          	两阶段提交
two-phase lookup                          	两阶段查找
type                                      	类型
unary function                            	单参函数
unary operator                            	一元操作符
unboxing                                  	拆箱
underflow                                 	下溢
union query                               	联合查询
unique index                              	唯一索引
unmanaged code                            	非托管代码
unmarshal                                 	反编列
unqualified                               	未限定的
user                                      	用户
user interface                            	用户界面
value type                                	值类型
variable                                  	变量
vector                                    	向量
vendor                                    	厂商
vertex coloring                           	点染色
vertex cover                              	点覆盖
viable                                    	可行的
video                                     	视频
view                                      	视图
virtual function                          	虚函数
virtual machine                           	虚拟机
virtual memory                            	虚拟内存
voronoi diagram                           	voronoi 图
vowel                                     	元音字母
web service                               	web 服务
wildcard character                        	通配符字符
wildcard search                           	通配符搜索
window                                    	窗口
window function                           	窗口函数
window procedure                          	窗口过程
windows authentication                    	windows 身份验证
wizard                                    	向导
word                                      	单词
word processor                            	字处理器
workspace                                 	工作空间
wrapper                                   	包装器
write enable                              	写启用
write-ahead log                           	预写日志
write-only                                	只写
